Node,Mobility,Mobility_speed,packet_Received,packet_Sent,Forwarding_Difference,Energy,num_Received,num_Sent,packet_Drop,Transmission_Power,Attack_type,Type_of_node
R6,Mass,20,837,3252,-144,-0.757491148,468,612,39,1.4,UDP Flooding DOS,Attacker
R7,Mass,20,750,169,53,-0.283830188,156,103,36,1.4,UDP Flooding DOS,Normal
R8,Mass,20,960,155,1,-0.189000799,72,71,10,1.4,UDP Flooding DOS,Normal
R9,Mass,20,836,156,18,-0.197990389,92,74,26,1.4,UDP Flooding DOS,Normal
R10,Mass,20,843,150,10,-0.303315594,183,173,13,1.4,UDP Flooding DOS,Normal
R11,Mass,20,849,158,28,-0.179832343,61,33,19,1.4,UDP Flooding DOS,Normal
R12,Mass,20,687,140,116,-0.420653877,374,258,14,1.4,UDP Flooding DOS,Normal
R13,Mass,20,825,160,11,-0.328783768,179,168,9,1.4,UDP Flooding DOS,Normal
R14,Mass,20,800,153,4,-0.18337034,75,71,9,1.4,UDP Flooding DOS,Normal
R15,Mass,20,614,142,42,-0.250001013,104,62,19,1.4,UDP Flooding DOS,Normal
R16,Mass,20,771,139,28,-0.327442581,178,150,15,1.4,UDP Flooding DOS,Normal
R17,Mass,20,746,158,309,-0.439585422,371,62,41,1.4,UDP Flooding DOS,Normal
R18,Mass,20,945,182,300,-0.608211525,637,337,25,1.4,UDP Flooding DOS,Normal
R19,Mass,20,784,156,-7,-0.248302363,141,148,6,1.4,UDP Flooding DOS,Normal
R20,Mass,20,847,143,-4,-0.265140814,116,120,5,1.4,UDP Flooding DOS,Normal
R21,Mass,20,632,130,1,-0.19785547,53,52,2,1.4,UDP Flooding DOS,Normal
R22,Mass,20,810,151,10,-0.221999699,74,64,7,1.4,UDP Flooding DOS,Normal
A,Mass,20,688,2160,-535,-0.84477012,59,594,16,1.4,UDP Flooding DOS,Normal
B,Mass,20,886,170,56,-0.219333196,169,113,16,1.4,UDP Flooding DOS,Normal
R0,Mass,12,921,139,384,-0.331913094,432,48,15,1.4,UDP Flooding DOS,Normal
R1,Mass,12,972,182,44,-0.312582683,398,354,20,1.4,UDP Flooding DOS,Normal
R2,Mass,12,989,183,65,-0.32097178,283,218,25,1.4,UDP Flooding DOS,Normal
R3,Mass,12,869,148,0,-0.281643859,89,89,11,1.4,UDP Flooding DOS,Normal
R4,Mass,12,886,3368,-428,-1.029786092,607,1035,66,1.4,UDP Flooding DOS,Attacker
R5,Mass,12,852,140,20,-0.254715112,65,45,14,1.4,UDP Flooding DOS,Normal
R6,Mass,12,909,271,162,-0.434559778,362,200,29,1.4,UDP Flooding DOS,Normal
R7,Mass,12,953,154,6,-0.250015505,62,56,14,1.4,UDP Flooding DOS,Normal
R8,Mass,12,1160,151,17,-0.318295359,123,106,9,1.4,UDP Flooding DOS,Normal
R9,Mass,12,1006,143,7,-0.256091211,54,47,3,1.4,UDP Flooding DOS,Normal
R10,Mass,12,831,189,83,-0.252236072,250,167,23,1.4,UDP Flooding DOS,Normal
R11,Mass,12,834,126,-1,-0.198646754,20,21,6,1.4,UDP Flooding DOS,Normal
R12,Mass,12,939,138,72,-0.390159846,108,36,18,1.4,UDP Flooding DOS,Normal
R13,Mass,12,881,127,8,-0.270272266,34,26,9,1.4,UDP Flooding DOS,Normal
R14,Mass,12,795,138,228,-0.439906527,320,92,14,1.4,UDP Flooding DOS,Normal
R15,Mass,12,865,193,51,-0.426448176,183,132,31,1.4,UDP Flooding DOS,Normal
R16,Mass,12,705,122,-1,-0.267512986,27,28,1,1.4,UDP Flooding DOS,Normal
R17,Mass,12,902,138,230,-0.404246049,326,96,13,1.4,UDP Flooding DOS,Normal
R18,Mass,12,736,182,66,-0.288285199,226,160,17,1.4,UDP Flooding DOS,Normal
R19,Mass,12,860,179,3,-0.275496813,104,101,10,1.4,UDP Flooding DOS,Normal
R20,Mass,12,596,136,14,-0.269801309,83,69,5,1.4,UDP Flooding DOS,Normal
R21,Mass,12,993,154,31,-0.34975061,66,35,22,1.4,UDP Flooding DOS,Normal
R22,Mass,12,638,195,82,-0.357485528,227,145,34,1.4,UDP Flooding DOS,Normal
A,Mass,12,680,2087,-1000,-1.238599128,21,1021,26,1.4,UDP Flooding DOS,Normal
B,Mass,12,621,174,70,-0.287286224,222,152,19,1.4,UDP Flooding DOS,Normal
R0,Mass,12,767,157,639,-0.388279022,720,81,19,1.4,UDP Flooding DOS,Normal
R1,Mass,12,639,117,-2,-0.202882998,16,18,5,1.4,UDP Flooding DOS,Normal
R2,Mass,12,821,3207,2,-0.742641684,457,455,66,1.4,UDP Flooding DOS,Attacker
R3,Mass,12,812,139,36,-0.275215017,197,161,11,1.4,UDP Flooding DOS,Normal
R4,Mass,12,767,181,34,-0.311476957,138,104,22,1.4,UDP Flooding DOS,Normal
R5,Mass,12,862,146,-1,-0.270994464,31,32,18,1.4,UDP Flooding DOS,Normal
R6,Mass,12,871,133,-8,-0.315882698,148,156,3,1.4,UDP Flooding DOS,Normal
R7,Mass,12,994,151,46,-0.315508188,151,105,13,1.4,UDP Flooding DOS,Normal
R8,Mass,12,562,140,-1,-0.292039282,70,71,8,1.4,UDP Flooding DOS,Normal
R9,Mass,12,978,139,9,-0.297832879,118,109,6,1.4,UDP Flooding DOS,Normal
R10,Mass,12,745,139,34,-0.298411045,220,186,17,1.4,UDP Flooding DOS,Normal
R11,Mass,12,439,3242,-191,-0.701199145,120,311,81,1.4,UDP Flooding DOS,Attacker
R12,Mass,12,828,137,294,-0.327302237,353,59,10,1.4,UDP Flooding DOS,Normal
R13,Mass,12,843,130,4,-0.28207109,143,139,5,1.4,UDP Flooding DOS,Normal
R14,Mass,12,664,123,-7,-0.268889514,152,159,2,1.4,UDP Flooding DOS,Normal
R15,Mass,12,714,123,7,-0.251512176,155,148,9,1.4,UDP Flooding DOS,Normal
R16,Mass,12,781,3151,-66,-0.810448472,451,517,88,1.4,UDP Flooding DOS,Attacker
R17,Mass,12,764,140,20,-0.341831524,139,119,11,1.4,UDP Flooding DOS,Normal
R18,Mass,12,748,134,8,-0.218603946,66,58,4,1.4,UDP Flooding DOS,Normal
R19,Mass,12,1004,136,15,-0.322036569,267,252,8,1.4,UDP Flooding DOS,Normal
R20,Mass,12,716,163,19,-0.347070491,68,49,29,1.4,UDP Flooding DOS,Normal
R21,Mass,12,729,190,103,-0.439765153,219,116,48,1.4,UDP Flooding DOS,Normal
R22,Mass,12,598,143,-1,-0.269405143,88,89,8,1.4,UDP Flooding DOS,Normal
A,Mass,12,724,2159,-868,-1.194775136,43,911,33,1.4,UDP Flooding DOS,Normal
B,Mass,12,699,153,9,-0.29319014,204,195,11,1.4,UDP Flooding DOS,Normal
R0,Mass,12,1120,244,96,-0.412351135,247,151,19,1.4,UDP Flooding DOS,Normal
R1,Mass,12,1081,241,297,-0.377279504,413,116,22,1.4,UDP Flooding DOS,Normal
R2,Mass,12,965,3216,-267,-0.59975184,196,463,28,1.4,UDP Flooding DOS,Attacker
R3,Mass,12,641,184,19,-0.292085015,86,67,10,1.4,UDP Flooding DOS,Normal
R4,Mass,12,746,242,159,-0.403660372,224,65,39,1.4,UDP Flooding DOS,Normal
R5,Mass,12,436,164,48,-0.305977076,100,52,29,1.4,UDP Flooding DOS,Normal
R6,Mass,12,716,202,30,-0.291039056,140,110,18,1.4,UDP Flooding DOS,Normal
R7,Mass,12,1033,213,256,-0.636960927,680,424,13,1.4,UDP Flooding DOS,Normal
R8,Mass,12,924,241,360,-0.400080292,663,303,17,1.4,UDP Flooding DOS,Normal
R9,Mass,12,938,211,32,-0.357873325,92,60,22,1.4,UDP Flooding DOS,Normal
R10,Mass,12,498,162,-1,-0.216415192,46,47,11,1.4,UDP Flooding DOS,Normal
R11,Mass,12,882,3306,-556,-0.858781681,365,921,38,1.4,UDP Flooding DOS,Attacker
R12,Mass,12,1336,219,38,-0.341107321,318,280,9,1.4,UDP Flooding DOS,Normal
R13,Mass,12,629,204,59,-0.384863766,172,113,19,1.4,UDP Flooding DOS,Normal
R14,Mass,12,731,3318,-172,-0.545648005,179,351,21,1.4,UDP Flooding DOS,Attacker
R15,Mass,12,1092,179,-5,-0.320484205,146,151,6,1.4,UDP Flooding DOS,Normal
R16,Mass,12,1088,3392,-181,-0.679259669,271,452,47,1.4,UDP Flooding DOS,Attacker
R17,Mass,12,568,153,16,-0.260231905,84,68,6,1.4,UDP Flooding DOS,Normal
R18,Mass,12,736,211,57,-0.345144334,182,125,19,1.4,UDP Flooding DOS,Normal
R19,Mass,12,565,142,7,-0.261197968,167,160,14,1.4,UDP Flooding DOS,Normal
R20,Mass,12,1190,208,207,-0.355681988,600,393,13,1.4,UDP Flooding DOS,Normal
R21,Mass,12,933,233,67,-0.549195418,633,566,21,1.4,UDP Flooding DOS,Normal
R22,Mass,12,885,233,40,-0.431492833,326,286,12,1.4,UDP Flooding DOS,Normal
A,Mass,12,1064,2204,-477,-0.939986584,88,565,36,1.4,UDP Flooding DOS,Normal
B,Mass,12,770,229,72,-0.338136003,120,48,18,1.4,UDP Flooding DOS,Normal
